uoa_site,scientific_name,common_name,native,introduced,threatened,category,observed_on,quality_grade,latitude,longitude,observer,project_id,observation_id,url
UoA City Campus,Vespula vulgaris,Common European Yellowjacket,False,True,False,Insecta,2025-02-27,research,-36.8505033333,174.7697616667,joshcmpbll,biota-of-university-of-auckland-city-campus,263222200,https://www.inaturalist.org/observations/263222200
UoA City Campus,Bombus terrestris,Buff-tailed Bumble Bee,False,True,False,Insecta,2025-02-27,research,-36.8499216667,174.769195,joshcmpbll,biota-of-university-of-auckland-city-campus,263222255,https://www.inaturalist.org/observations/263222255
UoA City Campus,Pyrrosia eleagnifolia,Leather-leaf fern,True,False,False,Plantae,2025-02-27,research,-36.8501532135,174.769885559,charlotte_sutton1,biota-of-university-of-auckland-city-campus,263222635,https://www.inaturalist.org/observations/263222635
UoA City Campus,Platycercus eximius,Eastern Rosella,False,True,False,Aves,2025-02-27,research,-36.8511168921,174.7706954255,ameliacmnz,biota-of-university-of-auckland-city-campus,263222658,https://www.inaturalist.org/observations/263222658
UoA City Campus,Vespula vulgaris,Common European Yellowjacket,False,True,False,Insecta,2025-02-27,research,-36.8500147791,174.7700172651,charlotte_sutton1,biota-of-university-of-auckland-city-campus,263222864,https://www.inaturalist.org/observations/263222864
UoA City Campus,Cyathea dealbata,silver fern,True,False,False,Plantae,2025-02-24,research,-36.8498033997,174.7694807,matthewmiazga,biota-of-university-of-auckland-city-campus,263422542,https://www.inaturalist.org/observations/263422542
UoA City Campus,Passer domesticus,House Sparrow,False,True,False,Aves,2025-02-20,research,-36.851467255,174.7694972914,ian_mcallan,biota-of-university-of-auckland-city-campus,263440492,https://www.inaturalist.org/observations/263440492
UoA City Campus,Prosthemadera novaeseelandiae novaeseelandiae,New Zealand Tūī,True,False,False,Aves,2025-02-12,research,-36.8508269585,174.7707272895,jw_nz,biota-of-university-of-auckland-city-campus,263453570,https://www.inaturalist.org/observations/263453570
UoA City Campus,Apis mellifera,Western Honey Bee,False,True,False,Insecta,2025-03-02,research,-36.8524055481,174.7691192627,chipjustin,biota-of-university-of-auckland-city-campus,263572715,https://www.inaturalist.org/observations/263572715
UoA City Campus,Apis mellifera,Western Honey Bee,False,True,False,Insecta,2025-03-02,research,-36.8522568135,174.7689923737,flick233,biota-of-university-of-auckland-city-campus,263572938,https://www.inaturalist.org/observations/263572938
UoA City Campus,Hemiphaga novaeseelandiae novaeseelandiae,Kererū,True,False,False,Aves,2025-02-25,research,-36.8505562934,174.7708470889,nate_ollie_k,biota-of-university-of-auckland-city-campus,263743360,https://www.inaturalist.org/observations/263743360
UoA City Campus,Orthodera novaezealandiae,New Zealand Mantis,True,False,False,Insecta,2025-03-04,research,-36.8500162232,174.7699617611,tomasblokker,biota-of-university-of-auckland-city-campus,263832057,https://www.inaturalist.org/observations/263832057
UoA City Campus,Agrotis ipsilon,Ipsilon Dart Moth,True,False,False,Insecta,2025-03-05,research,-36.8513,174.7689366667,jsimons,biota-of-university-of-auckland-city-campus,263921493,https://www.inaturalist.org/observations/263921493
UoA City Campus,Corythucha ciliata,Eastern Sycamore Lace Bug,False,True,False,Insecta,2025-03-11,research,-36.8522550227,174.7695851326,jw_nz,biota-of-university-of-auckland-city-campus,264869405,https://www.inaturalist.org/observations/264869405
UoA City Campus,Melicytus ramiflorus,Māhoe,True,False,False,Plantae,2025-03-11,research,-36.8499116667,174.7717883333,hopukiore,biota-of-university-of-auckland-city-campus,264879776,https://www.inaturalist.org/observations/264879776
UoA City Campus,Glaucias amyoti,New Zealand Vegetable Bug,True,False,False,Insecta,2025-03-11,research,-36.8506982951,174.7707414719,jxu343,biota-of-university-of-auckland-city-campus,264903821,https://www.inaturalist.org/observations/264903821
UoA City Campus,Thaumastocoris peregrinus,Bronze bug,False,True,False,Insecta,2025-03-12,research,-36.8525116667,174.7691033333,carrrat,biota-of-university-of-auckland-city-campus,265010832,https://www.inaturalist.org/observations/265010832
UoA City Campus,Passer domesticus domesticus,European house sparrow,False,True,False,Aves,2025-03-14,research,-36.8530182835,174.7707911208,jw_nz,biota-of-university-of-auckland-city-campus,265196380,https://www.inaturalist.org/observations/265196380
UoA City Campus,Entelea arborescens,Whau,True,False,False,Plantae,2025-03-17,research,-36.8496366667,174.7714533333,amie58267,biota-of-university-of-auckland-city-campus,265638357,https://www.inaturalist.org/observations/265638357
UoA City Campus,Paulownia tomentosa,princess tree,False,True,False,Plantae,2025-03-17,research,-36.8496720652,174.7712730303,amie58267,biota-of-university-of-auckland-city-campus,265639209,https://www.inaturalist.org/observations/265639209
UoA City Campus,Entelea arborescens,Whau,True,False,False,Plantae,2025-03-17,research,-36.849555,174.7713616667,amie58267,biota-of-university-of-auckland-city-campus,265753423,https://www.inaturalist.org/observations/265753423
